artist,title,views,current avg/day
Katy Perry,Roar,2998634821,671137
OneRepublic,Counting Stars,2914072161,500837
Avicii,Wake Me Up,1895262289,253120
MAGIC!,Rude,1782196935,303481
John Legend,All of Me,1605857327,543161
Romeo Santos,Propuesta Indecente,1557517802,306619
Ellie Goulding,Burn,1389372438,116408
Martin Garrix,Animals,1363286217,213407
PSY,GENTLEMAN,1287927668,151180
Pitbull,Timber ft. Ke$ha,1175416896,185091
P!nk,Just Give Me A Reason ft. Nate Ruess,1137191718,275064
Prince Royce,Darte un Beso,1125332578,146116
Pharrell Williams,Happy,1072093603,77848
Miley Cyrus,Wrecking Ball,1060028946,125731
Naughty Boy,La la la ft. Sam Smith,1004400116,143982
Eminem,Rap God,993223787,464206
David Guetta,Play Hard,960757304,170772
Arctic Monkeys,Do I Wanna Know?,951725335,275393
Ylvis,The Fox (What Does The Fox Say?),910426513,178028
Marc Anthony,Vivir Mi Vida,881580420,201013
Miley Cyrus,We Can't Stop,881347073,62078
Rihanna,Stay,860996633,183171
Mike WiLL Made-It,23,860338537,138278
Bruno Mars,When I Was Your Man,853589177,292545
Lorde,Royals,795123962,102767
One Direction,Story of My Life,780756185,161823
Calvin Harris,I Need Your Love ft. Ellie Goulding,773253159,53290
Imagine Dragons,Demons,768330273,186274
John Newman,Love Me Again,738078694,189796
MACKLEMORE & RYAN LEWIS,CAN'T HOLD US,721004299,215714
Idina Menzel,Let It Go,687553382,105829
Eminem ft. Rihanna,The Monster,680061820,123035
Stromae,Papaoutai,678247812,153631
Selena Gomez,Come & Get It,653146342,110721
One Direction,Best Song Ever,650952360,68424
Robin Thicke,Blurred Lines,643767590,108664
Justin Timberlake,Mirrors,604022768,220904
Indila,Dernière Danse,600459707,236898
Demi Lovato,Let It Go,584214299,50157
Demi Lovato,Heart Attack,566762860,87092
Enrique Iglesias,Loco ft. Romeo Santos,559152288,68447
Clean Bandit,Rather Be ft. Jess Glynne,559133886,147775
Bastille,Pompeii,551886655,105204
Toto,Africa,551627713,155067
Pitbull ft. Christina Aguilera,Feel This Moment,544909899,86568
Milky Chance,Stolen Dance (Album Version),541115362,189721
Beyoncé,Drunk in Love ft. JAY Z,537051639,116888
Taylor Swift,22,532052137,81048
Katy Perry,Unconditionally,525907419,75197
Silva Gunbardhi,Te ka lali shpirt,521328243,138043
Pablo Alboran,Donde Está El Amor,513166164,137603
Anna Kendrick,Cups,507310476,139513
Bruno Mars,Treasure,506964498,135227
Tom Odell,Another Love,501913349,109371
Daft Punk,Get Lucky,491766735,186396
Banda Los Recoditos,Mi Último Deseo,489617160,136529
Avicii,Hey Brother,488941215,68516
"A Great Big World, Christina Aguilera",Say Something,488472643,130565
DVBBS & Borgeous,TSUNAMI,476589458,73281
Capital Cities,Safe And Sound,472499719,83706
One Direction,Kiss You,465144998,67796
Jason Derulo,Talk Dirty,457216513,70279
BANDA MS,HERMOSA EXPERIENCIA,446353393,47165
Drake,Started From The Bottom,440971609,54698
Maître Gims,Bella,435428599,90560
Hala Al Turk,Happy Happy,431926985,125969
Jesús Adrián Romero feat. Marcela Gándara,Tú estás aquí,431655438,168880
Nico & Vinz,Am I Wrong,425969097,97080
Marcela Gandara,Supe Que Me Amabas,425849436,130271
Hozier,Take Me To Church,422617884,236908
One Direction,One Way Or Another (Teenage Kicks),421102187,43017
Banda Tierra Sagrada,La buena y la mala (el dilema),419286388,77512
Alejandro Fernández,Hoy Tengo Ganas De Ti ft. Christina Aguilera,414605573,115990
León Larregui,Brillas,406527825,116519
Gloria Trevi,No Querías Lastimarme,403890412,194202
AC/DC,Highway to Hell,396794031,132360
Ariana Grande,The Way ft. Mac Miller,387922777,60338
"Earth, Wind & Fire",September,387806153,185314
Lana Del Rey,Young and Beautiful,387465272,82356
Green Day,Boulevard Of Broken Dreams,379249304,333881
Plan B,Candy,378835381,31489
"Shreya Ghoshal, Udit Narayan, Vishal Dadlani & Shekhar Ravjiani",Radha,375918125,245196
Baby Rasta y Gringo,Me Niegas,362239914,66385
Rihanna,Pour It Up,357803852,90133
Vance Joy,'Riptide',355326585,120880
Nicky Jam,Voy a Beber,352742383,45408
Lady Gaga,Applause,349903381,50843
Oasis,Wonderwall,347200341,153821
La Reine des Neiges,"Libérée, délivrée",338661773,96325
The Neighbourhood,Sweater Weather,336711940,94943
Daft Punk,Instant Crush,335876049,160121
Iggy Azalea,Work,334476963,39143
Selena Gomez,Slow Down,331332560,61334
Jesse & Joy,Llorar (feat. Mario Domm),328477913,115955
Imran Khan,Satisfya,326048414,893214
YG,"My Nigga ft. Jeezy, Rich Homie Quan",325950095,51472
Lil Wayne,"Love Me ft. Drake, Future",324533311,95639
Maluma,La Temperatura ft. Eli Palacios,323383694,35621
Britney Spears,Work B**ch,322963593,52759
